Date,Code,Description, Total bottles ,cause, Bollore Recharge value ,Location
2023-07-14,762947,White Cap Lager 500ml RET 25X01,8,Breakages While Loading,746.67,NEW WHS 
2023-07-23,681232,Balozi Lager    500ml RET 25X01 LOCAL,27,Breakages While Unstacking,2688.28,NEW WHS 
2023-08-10,696894,Guinness FES    500ml RET 25X01,50,Breakages While Loading,5801.67,NEW WHS 
2023-08-10,758963,Guin Smth Btl   500ml RET 25X01,25,Breakages While Loading,2870.38,NEW WHS 
2023-08-10,762947,White Cap Lager 500ml RET 25X01,25,Breakages While Shunting,2333.35,OLD WHS
2023-08-09,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,3,Breakages While Sorting,278.49,NEW WHS 
2023-08-11,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,2,Breakages While Loading,185.66,NEW WHS 
2023-08-11,642754,Tusker Malt In  330ml RET 25X01 local,1,Breakages At PVC,74.64,NEW WHS 
2023-08-14,681232,Balozi Lager    500ml RET 25X01 LOCAL,16,Breakages While Loading,1593.05,NEW WHS 
2023-08-12,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,1,Breakages While Loading,92.83,NEW WHS 
2023-08-13,696894,Guinness FES    500ml RET 25X01,1,Breakages While Loading,116.03,NEW WHS 
2023-08-14,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,23,Breakages While Loading,2135.1,OLD WHS
2023-08-14,663869,Tusker Lite     330ml RET 25X01 LITE,150,Breakages While Loading,10885.61,NEW WHS 
2023-08-17,703125,Tusker In Bottl 500ml RET 25X01 EXP,25,Breakages While Loading,532.3,OLD WHS
2023-08-17,703125,Tusker In Bottl 500ml RET 25X01 EXP,7,Breakages While Loading,149.05,OLD WHS
2023-08-19,696894,Guinness FES    500ml RET 25X01,6,Breakages While Loading,696.2,NEW WHS 
2023-08-18,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,6,Breakages While Loading,556.98,NEW WHS 
2023-08-20,762947,White Cap Lager 500ml RET 25X01,15,Breakages While Loading,1400.01,NEW WHS 
2023-08-21,696894,Guinness FES    500ml RET 25X01,58,Breakages While Shunting,6729.93,OLD WHS
2023-08-25,677573,Pilsner Lager I 500ml RET 25X01 BOLD,7,Breakages While Loading,645.32,NEW WHS 
2023-08-25,681232,Balozi Lager    500ml RET 25X01 LOCAL,1,Breakages While Loading,99.57,NEW WHS 
2023-08-25,681232,Balozi Lager    500ml RET 25X01 LOCAL,2,Breakages While Loading,199.13,NEW WHS 
2023-08-30,663869,Tusker Lite     330ml RET 25X01 LITE,2,Breakages At PVC,145.14,NEW WHS 
2023-08-31,642754,Tusker Malt In  330ml RET 25X01 local,1,Breakages While Loading,74.64,NEW WHS 
2023-08-30,681232,Balozi Lager    500ml RET 25X01 LOCAL,56,Breakages While Loading,5575.69,NEW WHS 
2023-08-30,703125,Tusker In Bottl 500ml RET 25X01 EXP,10,Breakages While Loading,212.92,NEW WHS 
2023-08-30,681232,Balozi Lager    500ml RET 25X01 LOCAL,50,Breakages While Loading,4978.3,NEW WHS 
2023-09-05,672403,Tusker In Can   500ml CAN 24X01,2,Breakages While Loading,242.3,NEW WHS 
2023-09-09,696894,Guinness FES    500ml RET 25X01,1,Breakages While Loading,116.03,NEW WHS 
2023-09-12,696894,Guinness FES    500ml RET 25X01,1,Breakages While Loading,116.03,NEW WHS 
2023-09-12,681232,Balozi Lager    500ml RET 25X01 LOCAL,2,Breakages While Loading,199.13,NEW WHS 
2023-09-12,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages While Loading,72.57,NEW WHS 
2023-09-11,681232,Balozi Lager    500ml RET 25X01 LOCAL,5,Breakages While Loading,497.83,NEW WHS 
2023-09-13,681232,Balozi Lager    500ml RET 25X01 LOCAL,11,Breakages While Loading,1095.23,NEW WHS 
2023-09-16,696894,Guinness FES    500ml RET 25X01,2,Breakages While Loading,232.07,NEW WHS 
2023-09-16,696894,Guinness FES    500ml RET 25X01,2,Breakages While Loading,232.07,NEW WHS 
2023-09-16,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,2,Breakages While Loading,185.66,NEW WHS 
2023-09-18,703125,Tusker In Bottl 500ml RET 25X01 EXP,12,Breakages While Loading,255.51,OLD WHS
2023-09-18,762947,White Cap Lager 500ml RET 25X01,14,Breakages While Loading,1306.68,OLD WHS
2023-09-19,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,10,Breakages While Shunting,928.3,OLD WHS
2023-09-18,663869,Tusker Lite     330ml RET 25X01 LITE,2,Breakages While Loading,145.14,NEW WHS 
2023-09-20,696894,Guinness FES    500ml RET 25X01,3,Breakages While Loading,348.1,NEW WHS 
2023-09-22,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,1,Breakages While Loading,92.83,NEW WHS 
2023-09-18,663869,Tusker Lite     330ml RET 25X01 LITE,9,Breakages While Loading,653.14,NEW WHS 
2023-09-21,703125,Tusker In Bottl 500ml RET 25X01 EXP,16,Breakages While Loading,340.67,OLD WHS
2023-09-22,675369,Tusker Malt In  330ml RET 25X01 EXPORT,66,Breakages While Loading,1747.51,OLD WHS
2023-09-22,663562,Guinness FES 300ml RET 25X01 S.SUDAN,10,Breakages While Loading,393.15,OLD WHS
2023-09-22,642754,Tusker Malt In  330ml RET 25X01 local,3,Breakages While Sorting,223.91,NEW WHS 
2023-09-22,766268,Balozi Lager Ca 500ml CAN 24X01,2,Breakages While Loading,243.16,NEW WHS 
2023-09-22,680886,Guinness FES    500ml CAN 24X01 DEFCO,4,Breakages While Loading,284.38,NEW WHS 
2023-09-22,696894,Guinness FES    500ml RET 25X01,109,Breakages While Loading,12647.63,NEW WHS 
2023-09-26,696894,Guinness FES    500ml RET 25X01,4,Breakages While Sorting,464.13,NEW WHS 
