"CODE","DESCRIPTION"
"0","Tusker Lager 500ml Somalia Export"
"999999","Tusker Lager 500ml Rwanda Export"
"704768","Tusker Lite 330ml RET 25X01 EXP Export"
"695544","Tusker In Bottl 500ml RET 25X01 UBL Export"
"616854","Tusker In Bottl 355ml NRB 24X01 Export"
"674752","Pilsner Lager I 500ml CAN 24X01 EL Export"
"674773","Tusker In Can 330ml CAN 24X01 EL Export"
"695596","Tusker Lite 330ml RET 25X01 LITE UBL Export"
"704441","Tusker In Can 500ml CAN 24X01 UBL Export"
"762197","Tusker Cdr in B 330ml RET 25X01 UG Export"
"704396","Tusker In Bottl 355ml NRB 24X01 PELLET Export"
"763397","Guinness Smth C 500ml CAN 24X01 Export Export"
"778380","Rockshore Tropi 300ml RET 25X01 UG Export"
"695969","Alvaro Pnapple 330ml BTL 25X01 UBL Export"
"674681","Guinness FES 500ml CAN 24X01 UG Export"
"680140","Tusker Lite Can 500ml CAN 24X01 EL Export"
"681091","Tusker Malt Can 500ml CAN 24X01 UG Export"
"720237","White Cap 500ml CAN 24X01 Export Export"
"674514","Tusker In Can 500ml CAN 24X01 EL Export"
"703125","Tusker In Bottl 500ml RET 25X01 EXP Export"
"675369","Tusker Malt 330ml RET 25X01 EXPORT Export"
"644249","Tusker Malt 330ml RET 25X01 UBL Export"
"663562","Guinness FES 300ml RET 25X01 S.Sudan Export"
"680219","Alvaro Pnapple 330ml CAN 24X01 EL Export"
"616895","Tusker In Bottl 500ml NRB 12X01 Export"
"773424","White Cap Lager 500ml RET 25X01 Sudan Export"
"784539","Guinness FES 500ml CAN 24X01 Sudan Export"
"784552","Guinness FES 500ml CAN 24X01 Somalia Export"
"784554","Guinness FES 500ml CAN 24X01 Seychell Export"
"784526","Tusker Malt Can 500ml CAN 24X01 Seychell Export"
"785911","Tusker In Can 500ml CAN 24X01 Somalia Export"
"784525","Tusker Malt Can 500ml CAN 24X01 Somalia Export"
"784524","Tusker Malt Can 500ml CAN 24X01 Sudan Export"
"784553","Guinness FES 500ml CAN 24X01 Burundi Export"
"785900","Tusker Lite Can 500ml CAN 24X01 Somalia Export"
"785966","Tusker Lite Can 500ml CAN 24X01 Sudan Export"
"785912","Tusker In Can 500ml CAN 24X01 Rwanda Export"
