complete code,complete code description,bottle component code,bottle component code description,shell component code,shell component code description
688295,Senator Dark Lg 50L   KEG       EXTRA,350348,KEG BARRELS 50LTS ,,
603482,Senator KEG Lager 50LT,350348,KEG BARRELS 50LTS ,,
603493,Tusker lager KEG 50lt,350348,KEG BARRELS 50LTS ,,
630175,President Lager 300ml RET 25X01,350591,DUMPY 320ML,350607,DUMPY 320ML
616860,Allsopps  500ml       25X01,350592,AMBER 500ML - EUROFORM,350605,GREEN 300ML - DAZZLE
681232,Balozi Lager 500ml RET 25X01 LOCAL,350592,AMBER 500ML - EUROFORM,350605,GREEN 300ML - DAZZLE
616892,White Cap AFCO 500 Ml x 25,350592,AMBER 500ML - EUROFORM,350605,GREEN 300ML - DAZZLE
616861,White Cap Local 500ml       25X01,350592,AMBER 500ML - EUROFORM,350605,GREEN 300ML - DAZZLE
772347,Balozi Lager    500ml RET 25X01 DEFCO,350592,AMBER 500ML - EUROFORM,350605,GREEN 300ML - DAZZLE
765881,Balozi LB       500ml RET 06X04 CTN RET,350592,AMBER 500ML - EUROFORM,,
616834,Guinness Fes    300ml RET 25X01,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
696875,Guinness FES    300ml RET 25X01,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
712732,Guinness FES 300ml RET 25X01,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
714498,Guinness FES 300ml RET 25X01 FR FUN,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
663562,Guinness FES 300ml RET 25X01 S.SUDAN,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
767380,Guin Smth Btl   300ml RET 25X01,350593,GUCCI 300ML,350605,GREEN 300ML - DAZZLE
765891,Guinness FES    300ml RET 06X04 CTN RET,350593,GUCCI 300ML,,
616862,White Cap Lght 300ml   LOCAL    25X01,350595,AMBER 300ML - MP,350605,GREEN 300ML - DAZZLE
775004,White Cap Crisp 300ml RET 25X01,350595,AMBER 300ML - MP,350605,GREEN 300ML - DAZZLE
765827,White Cap Light 300ml RET 06X04 CTN RET,350595,AMBER 300ML - MP,,
695969,Alvaro Pnapple  330ml  25X01 UBL,350600,CHIC 330ML,350610,CHIC 330ML
623246,Alvaro Pnapple  33cl      25x01,350600,CHIC 330ML,350610,CHIC 330ML
765854,AlvrPnApl in Bt 330ml RET 06X04 CTN RET,350600,CHIC 330ML,,
696894,Guineess Kubwa 500 ml 25X01,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
616838,Guinness FES 500ml LOCAL  25x01,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
696906,Guinness FES AFCO 500ml   25x01,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
714499,Guinness FES    500ml RET 25X01 GTBOOKED,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
758963,Guin Smth Btl   500ml RET 25X01,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
760586,Guin Smth Btl   500ml RET 25X01 export,350601,AMBER 500ML - GENIUS,350615,AMBER 500ML - BOOPER
765830,Guinness FES    500ml NRB 06X04 CTN RET,350601,AMBER 500ML - GENIUS,,
765880,Guin Smth Btl   500ml RET 06X04 CTN RET,350601,AMBER 500ML - GENIUS,,
642754,Tusker Malt     330ml RET 25x01,350602,GREEN 330ML - MP,350605,GREEN 300ML - DAZZLE
642890,Tusker Malt     330ml RET 25x01 AFCO,350602,GREEN 330ML - MP,350605,GREEN 300ML - DAZZLE
675369,Tusker Malt In 330ml RET 25X01 EXPORT,350602,GREEN 330ML - MP,350605,GREEN 300ML - DAZZLE
644249,Tusker Malt In 330ml RET 25X01 UBL,350602,GREEN 330ML - MP,350605,GREEN 300ML - DAZZLE
771136,Tusker Malt In  330ml RET 25X01 NCP,350602,GREEN 330ML - MP,350605,GREEN 300ML - DAZZLE
765877,Tusker Malt In  330ml RET 06X04 CTN RET,350602,GREEN 330ML - MP,,
772715,Tusker malt 330ml RET 06 x04 CTN NCP,350602,GREEN 330ML - MP,,
646715,Tusker lager KEG 30lt,350821,KEG CANS 30LT ,,
716077,Allsopps  500ml       25X01NEW,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
716625,Allsopps Stout  500ml RET 25X01 STOUT,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
663890,Pilsner Ice 500ml RET 25X01 LOCAL,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
666147,Pilsner Lager BOLD AFCO 500ml RET 25X01,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
677573,Pilsner Lager I 500ml RET 25X01 BOLD,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
729413,Allsopps Lager  500ml RET 25X01 NEW LOOK,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
733152,Pilsner 7 in bt 500ml RET 25X01,354002,AMBER 500ML - SHEEN,351036,AMBER 500ML - EVEREST
765829,Pilsner Lager I 500ml NRB 06X04 CTN RET,354002,AMBER 500ML - SHEEN,,
765826,Tusker Cdr in B 330ml RET 06X04 CTN,354109,FLINT 330ML - EVEREST CIDER FLINT,,
762197,Tusker Cdr in B 330ml RET 25X01 UG,354167,TML FLINT 330 ML,350605,GREEN 300ML - DAZZLE
661263,Tusker          500ml RET 25X01 AFCO,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
703125,tusker export-Rwanda ,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
722055,Tusker Gld In B 500ml RET 25X01,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
661314,Tusker In Bottl 500ml RET 25X01 LOCAL,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
695544,Tusker In Bottl 500ml RET 25X01 UBL,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
730510,Tusker In Bottl 500ml RET 25X01 LOCAL,354246,AMBER 500ML - EVEREST,351036,AMBER 500ML - EVEREST
765828,Tusker In Bottl 500ml RET 06X04 CTN RET,354246,AMBER 500ML - EVEREST,,
