SKU,Description,BPC,Recharge Price / Case
704768,Tusker Lite 330ml RET 25X01 EXP,25,2942.21
695544,Tusker In Bottl 500ml RET 25X01 UBL,25,1927.31
616854,Tusker In Bottl 355ml NRB 24X01,24,2972.19
616888,Tusker In Bottl 355ml NRB 25X01,24,2771.11
674752,Pilsner Lager I 500ml CAN 24X01 EL,24,3535.86
674773,Tusker In Can 330ml CAN 24X01 EL,24,2676.82
695596,Tusker Lite 330ml RET 25X01 LITE UBL,25,4225.58
701270,Tusker In Bottl 500ml NRB 24X01,24,2468.29
704441,Tusker In Can 500ml CAN 24X01 UBL,24,4271.49
762197,Tusker Cdr in B 330ml RET 25X01 UG,25,3441.19
765891,Guinness FES 300ml RET 06X04 CTN RET,24,3224.74
772346,Balozi Lager Ca 500ml CAN 24X01 DEFCO,24,2946.40
775004,White Cap Crisp 300ml RET 25X01,25,5080.07
777512,White Cap Crisp 300ml RET 25X01 NCP,25,4826.09
772685,Tusker Cider 500ml RET 06X04 CTN NCP,24,4564.37
704396,Tusker In Bottl 355ml NRB 24X01 PELLET,24,2943.41
772347,Balozi Lager 500ml RET 25X01 DEFCO,25,2778.20
763397,Guinness Smth C 500ml CAN 24X01 Export,24,2007.93
764302,White Cap Lager 500ml RET 25X01 DEFCO,25,2132.07
777694,Allsopps Lager 500ml RET 25X01 NCP22,25,3017.59
777516,Pilsner Lager I 500ml RET 25X01 NCP,25,3664.22
778380,Rockshore Tropi 300ml RET 25X01 UG,25,1646.87
777682,Rockshore Tropi 300ml RET 25X01,25,3256.00
695969,Alvaro Pnapple 330ml BTL 25X01 UBL,25,0.00
539222,SENATOR KEG 01X01 KSM,1,4220.92
539224,SENATOR DARK 50L KEG 01X01 KSM,1,4631.03
603493,Tusker lager KEG 50lt,1,11387.86
776845,White Cap Crisp 330ml CAN 24X01,24,3735.95
777498,Tusker Lite 330ml RET 25X01 NCP,25,4117.34
777507,Tusker Malt 330ml RET 25X01 NCP,25,4117.34
777491,Tusker In Bottl 500ml RET 25X01 NCP,25,3707.81
777693,Balozi LB 500ml RET 25X01 NCP22,25,3707.81
